date,ticker,market_clean_price,market_dirty_price,clean_floor,dirty_floor,accrued_interest,effective_discount_rate,n_cashflows,stock_price,conversion_price,implied_vol_pct,risk_free_rate_pct,remaining_maturity,option_value,option_value_per_bond,option_value_pct,delta,fair_value_clean,fair_value_dirty,mispricing_pct,mispricing_usd,signal
2025-01-01,DLR,103.27,103.53,86.734042,86.734042,0.0,5.0395,11.0,177.33,208.342,27.6084,4.2971,4.8734,45.812601,219.8913,21.989132,0.648816,108.723174,108.723174,5.453174000000004,54.53174000000004,True
2025-01-02,DLR,103.348,103.613,86.79093,86.79093,0.0,5.0338,11.0,177.0,208.342,26.3466,4.2885,4.8679,43.710895,209.8036,20.980355,0.643363,107.771285,107.771285,4.423285000000007,44.23285000000007,True
2025-01-03,DLR,103.969,104.251,86.701405,86.701405,0.0,5.0547,11.0,181.74,208.342,25.0839,4.3152,4.8652,44.978102,215.8859,21.588589,0.658021,108.289994,108.289994,4.320993999999999,43.20993999999999,True
2025-01-06,DLR,103.997,104.284,86.652551,86.652551,0.0,5.0688,11.0,179.6,208.342,25.6367,4.3276,4.8569,44.400009,213.1112,21.311117,0.651653,107.963668,107.963668,3.9666679999999994,39.66667999999999,True
2025-01-07,DLR,103.944,104.236,86.52618,86.52618,0.0,5.0965,11.0,179.88,208.342,26.3697,4.3643,4.8542,45.749438,219.5882,21.958815,0.655539,108.484995,108.484995,4.540994999999995,45.40994999999995,True
2025-01-08,DLR,104.465,104.762,86.577791,86.577791,0.0,5.0799,11.0,180.87,208.342,26.959,4.3641,4.8515,47.210994,226.6033,22.660333,0.660298,109.238124,109.238124,4.773123999999996,47.73123999999996,True
2025-01-09,DLR,104.465,104.762,86.577791,86.577791,0.0,5.0799,11.0,180.87,208.342,26.959,4.3641,4.8515,47.210994,226.6033,22.660333,0.660298,109.238124,109.238124,4.773123999999996,47.73123999999996,True
2025-01-10,DLR,103.225,103.543,86.212844,86.212844,0.0,5.1602,11.0,173.34,208.342,27.147,4.4674,4.846,42.971476,206.2545,20.625449,0.637349,106.838293,106.838293,3.613293000000013,36.13293000000013,True
2025-01-13,DLR,101.715,102.038,86.084074,86.084074,0.0,5.1937,11.0,171.92,208.342,26.7106,4.5016,4.8378,41.484881,199.1191,19.911913,0.631276,105.995987,105.995987,4.280986999999996,42.80986999999996,True
2025-01-14,DLR,101.76,102.088,86.125098,86.125098,0.0,5.1847,11.0,173.89,208.342,25.4491,4.494,4.835,40.883792,196.234,19.623403,0.63414,105.748501,105.748501,3.988500999999985,39.88500999999985,True
2025-01-15,DLR,102.532,102.865,86.573018,86.573018,0.0,5.0938,11.0,174.91,208.342,26.9228,4.3881,4.8323,43.296863,207.8163,20.781628,0.639388,107.354646,107.354646,4.822646000000006,48.22646000000006,True
2025-01-16,DLR,103.133,103.472,86.801188,86.801188,0.0,5.0548,11.0,180.1,208.342,25.9042,4.3307,4.8296,44.92595,215.6356,21.563557,0.653272,108.364745,108.364745,5.231745000000004,52.31745000000004,True
2025-01-17,DLR,103.529,103.889,86.80592,86.80592,0.0,5.0691,11.0,178.43,208.342,26.967,4.3322,4.8268,45.38031,217.8164,21.781641,0.650154,108.587561,108.587561,5.058560999999997,50.58560999999997,True
2025-01-20,DLR,103.529,103.889,86.80592,86.80592,0.0,5.0691,11.0,178.43,208.342,26.967,4.3322,4.8268,45.38031,217.8164,21.781641,0.650154,108.587561,108.587561,5.058560999999997,50.58560999999997,True
2025-01-21,DLR,105.1,105.465,86.958987,86.958987,0.0,5.0446,11.0,183.56,208.342,25.3456,4.3144,4.8159,46.171695,221.6149,22.16149,0.663397,109.120477,109.120477,4.020477,40.20477,True
2025-01-22,DLR,104.964,105.334,86.932498,86.932498,0.0,5.0555,11.0,182.44,208.342,25.6578,4.3245,4.8131,45.925244,220.432,22.043198,0.660282,108.975696,108.975696,4.011696000000001,40.116960000000006,True
2025-01-23,DLR,104.918,105.293,86.902342,86.902342,0.0,5.0543,11.0,183.51,208.342,26.0727,4.346,4.8104,47.263497,226.8553,22.685533,0.665426,109.587875,109.587875,4.669874999999991,46.69874999999991,True
2025-01-24,DLR,104.245,104.636,86.946038,86.946038,0.0,5.0433,11.0,180.5,208.342,25.3944,4.3377,4.8077,44.314755,212.702,21.270196,0.652941,108.216234,108.216234,3.971233999999996,39.71233999999996,True
2025-01-27,DLR,100.701,101.097,87.218878,87.218878,0.0,4.9957,11.0,164.74,208.342,28.4055,4.2648,4.7995,38.344805,184.0474,18.40474,0.602545,105.623618,105.623618,4.922618000000014,49.22618000000014,True
2025-01-28,DLR,99.284,99.685,87.266994,87.266994,0.0,4.9877,11.0,162.14,208.342,27.9298,4.2553,4.7967,36.04465,173.0071,17.300711,0.589587,104.567705,104.567705,5.283704999999983,52.83704999999984,True
2025-01-29,DLR,100.297,100.703,87.227724,87.227724,0.0,5.0068,11.0,161.73,208.342,28.7156,4.2686,4.794,36.876374,176.9992,17.699922,0.592356,104.927646,104.927646,4.630645999999999,46.30645999999999,True
2025-01-30,DLR,100.92,101.332,87.349164,87.349164,0.0,4.9875,11.0,164.23,208.342,27.9313,4.2395,4.7912,37.211744,178.6089,17.860893,0.597016,105.210057,105.210057,4.2900570000000045,42.900570000000045,True
2025-01-31,DLR,101.428,101.85,87.217542,87.217542,0.0,5.0089,11.0,163.86,208.342,29.2672,4.2745,4.7885,38.968576,187.0414,18.704137,0.603383,105.921679,105.921679,4.493679,44.93679,True
2025-02-03,DLR,101.428,101.85,87.217542,87.217542,0.0,5.0089,11.0,163.86,208.342,29.2672,4.2745,4.7885,38.968576,187.0414,18.704137,0.603383,105.921679,105.921679,4.493679,44.93679,True
2025-02-04,DLR,100.632,101.064,87.337535,87.337535,0.0,5.0103,11.0,163.34,208.342,28.0853,4.2448,4.7775,36.792291,176.5956,17.659564,0.593858,104.997099,104.997099,4.365099000000001,43.65099000000001,True
2025-02-05,DLR,101.604,102.042,87.545849,87.545849,0.0,4.9782,11.0,167.19,208.342,28.1456,4.1824,4.7748,39.109536,187.718,18.771795,0.607241,106.317644,106.317644,4.713644000000002,47.13644000000002,True
2025-02-06,DLR,102.767,103.209,87.491544,87.491544,0.0,4.9982,11.0,168.11,208.342,29.07,4.1897,4.7721,41.013526,196.8567,19.685672,0.6151,107.177216,107.177216,4.4102160000000055,44.102160000000055,True
2025-02-07,DLR,102.767,103.209,87.491544,87.491544,0.0,4.9982,11.0,168.11,208.342,29.07,4.1897,4.7721,41.013526,196.8567,19.685672,0.6151,107.177216,107.177216,4.4102160000000055,44.102160000000055,True
2025-02-10,DLR,102.767,103.209,87.491544,87.491544,0.0,4.9982,11.0,168.11,208.342,29.07,4.1897,4.7721,41.013526,196.8567,19.685672,0.6151,107.177216,107.177216,4.4102160000000055,44.102160000000055,True
2025-02-11,DLR,102.767,103.209,87.491544,87.491544,0.0,4.9982,11.0,168.11,208.342,29.07,4.1897,4.7721,41.013526,196.8567,19.685672,0.6151,107.177216,107.177216,4.4102160000000055,44.102160000000055,True
2025-02-12,DLR,101.567,102.041,87.043309,87.043309,0.0,5.115,11.0,163.22,208.342,28.461,4.3581,4.7556,37.428731,179.6504,17.965042,0.597809,105.008351,105.008351,3.4413509999999974,34.413509999999974,True
2025-02-13,DLR,101.567,102.041,87.043309,87.043309,0.0,5.115,11.0,163.22,208.342,28.461,4.3581,4.7556,37.428731,179.6504,17.965042,0.597809,105.008351,105.008351,3.4413509999999974,34.413509999999974,True
2025-02-14,DLR,102.682,103.182,87.490131,87.490131,0.0,5.022,11.0,164.28,208.342,26.33,4.2551,4.7502,34.801119,167.0384,16.703841,0.587853,104.193972,104.193972,1.511972,15.11972,False
2025-02-17,DLR,102.682,103.182,87.490131,87.490131,0.0,5.022,11.0,164.28,208.342,26.33,4.2551,4.7502,34.801119,167.0384,16.703841,0.587853,104.193972,104.193972,1.511972,15.11972,False
2025-02-18,DLR,102.944,103.449,87.425017,87.425017,0.0,5.0417,11.0,165.65,208.342,28.108,4.2953,4.7392,38.171776,183.2169,18.321689,0.603012,105.746706,105.746706,2.8027059999999864,28.027059999999864,False
2025-02-19,DLR,104.045,104.556,87.504309,87.504309,0.0,5.0228,11.0,169.61,208.342,25.9457,4.2775,4.7365,37.493497,179.9613,17.996129,0.608063,105.500438,105.500438,1.455438000000001,14.554380000000007,False
2025-02-20,DLR,104.426,104.942,87.547089,87.547089,0.0,5.0176,11.0,172.0,208.342,27.8443,4.2592,4.7337,41.665081,199.9841,19.998406,0.62459,107.545495,107.545495,3.119495000000001,31.19495000000001,True
2025-02-21,DLR,104.358,104.889,87.729212,87.729212,0.0,4.9794,11.0,165.36,208.342,27.9616,4.1938,4.731,37.426877,179.6415,17.964152,0.597764,105.693364,105.693364,1.3353639999999984,13.353639999999984,False
2025-02-24,DLR,101.549,102.085,87.885391,87.885391,0.0,4.955,11.0,159.69,208.342,29.978,4.1616,4.7228,36.643466,175.8813,17.588131,0.585521,105.473522,105.473522,3.924521999999996,39.24521999999996,True
2025-02-25,DLR,101.549,102.085,87.885391,87.885391,0.0,4.955,11.0,159.69,208.342,29.978,4.1616,4.7228,36.643466,175.8813,17.588131,0.585521,105.473522,105.473522,3.924521999999996,39.24521999999996,True
2025-02-26,DLR,101.908,102.455,88.302638,88.302638,0.0,4.8879,11.0,159.38,208.342,28.788,4.0263,4.7173,34.518787,165.6833,16.568327,0.573582,104.870965,104.870965,2.962964999999997,29.62964999999997,False
2025-02-27,DLR,102.071,102.623,88.255733,88.255733,0.0,4.9004,11.0,157.27,208.342,29.2287,4.0319,4.7146,33.940532,162.9078,16.290777,0.568163,104.54651,104.54651,2.475510000000014,24.75510000000014,False
2025-02-28,DLR,101.4,101.978,88.341236,88.341236,0.0,4.8875,11.0,156.32,208.342,29.5909,3.9823,4.7118,33.749146,161.9892,16.198915,0.565194,104.540151,104.540151,3.140150999999989,31.401509999999888,True
2025-03-03,DLR,101.445,102.029,88.585696,88.585696,0.0,4.8455,11.0,155.31,208.342,28.6286,3.9228,4.7036,31.733812,152.3159,15.231595,0.552898,103.817291,103.817291,2.372291000000004,23.72291000000004,False
2025-03-04,DLR,101.437,102.025,88.556806,88.556806,0.0,4.8549,11.0,155.67,208.342,29.3077,3.9337,4.7009,32.832132,157.5877,15.758767,0.558996,104.315573,104.315573,2.878573000000003,28.78573000000003,False
2025-03-05,DLR,101.698,102.292,88.494303,88.494303,0.0,4.8572,11.0,157.28,208.342,28.3714,3.9838,4.6982,32.590641,156.4286,15.642856,0.560748,104.137159,104.137159,2.439159000000004,24.39159000000004,False
2025-03-06,DLR,100.462,101.061,88.428784,88.428784,0.0,4.8591,11.0,148.42,208.342,29.7927,3.9849,4.6954,29.606517,142.1054,14.210536,0.53414,102.63932,102.63932,2.1773199999999946,21.773199999999942,False
2025-03-07,DLR,98.977,99.592,88.356141,88.356141,0.0,4.88,11.0,149.17,208.342,31.3781,4.0074,4.6927,32.092628,154.0382,15.40382,0.549268,103.759961,103.759961,4.782960999999986,47.82960999999986,True
2025-03-10,DLR,98.977,99.592,88.356141,88.356141,0.0,4.88,11.0,149.17,208.342,31.3781,4.0074,4.6927,32.092628,154.0382,15.40382,0.549268,103.759961,103.759961,4.782960999999986,47.82960999999986,True
2025-03-11,DLR,99.975,100.6,88.353555,88.353555,0.0,4.9027,11.0,147.01,208.342,33.0308,3.9505,4.6817,32.802808,157.4469,15.744692,0.550613,104.098247,104.098247,4.123247000000006,41.23247000000006,True
2025-03-12,DLR,100.807,101.437,88.199151,88.199151,0.0,4.9401,11.0,151.67,208.342,31.7161,3.995,4.679,33.774816,162.1124,16.211236,0.560132,104.410387,104.410387,3.603386999999998,36.03386999999998,True
2025-03-13,DLR,100.183,100.818,88.225986,88.225986,0.0,4.9397,11.0,145.94,208.342,32.7731,3.9609,4.6762,31.88334,153.0337,15.303366,0.544715,103.529352,103.529352,3.346351999999996,33.46351999999996,True
2025-03-14,DLR,99.625,100.276,88.236041,88.236041,0.0,4.9409,11.0,148.57,208.342,31.3075,4.0014,4.6735,31.540485,151.388,15.138802,0.545346,103.374843,103.374843,3.7498429999999994,37.49842999999999,True
2025-03-17,DLR,101.169,101.825,88.23334,88.23334,0.0,4.9558,11.0,151.85,208.342,30.8591,4.0214,4.6653,32.754278,157.214,15.721398,0.55522,103.954738,103.954738,2.785737999999995,27.85737999999995,False
2025-03-18,DLR,100.418,101.079,88.299954,88.299954,0.0,4.9544,11.0,148.66,208.342,30.9807,4.0063,4.6626,31.115264,149.347,14.934704,0.542966,103.234658,103.234658,2.8166579999999897,28.166579999999897,False
2025-03-19,DLR,101.181,101.847,88.560121,88.560121,0.0,4.8878,11.0,151.09,208.342,30.6574,3.9698,4.6598,31.922908,153.2236,15.322357,0.549203,103.882478,103.882478,2.7014779999999945,27.014779999999945,False
2025-03-20,DLR,100.884,101.556,88.642144,88.642144,0.0,4.8715,11.0,151.41,208.342,30.2003,3.9409,4.6571,31.422407,150.8213,15.082127,0.546351,103.724271,103.724271,2.8402710000000013,28.402710000000013,False
2025-03-21,DLR,101.226,101.913,88.684977,88.684977,0.0,4.8569,11.0,150.38,208.342,30.6771,3.9328,4.6543,31.440329,150.9073,15.090729,0.545251,103.775706,103.775706,2.5497060000000005,25.497060000000005,False
2025-03-24,DLR,102.12,102.812,88.500317,88.500317,0.0,4.9131,11.0,155.49,208.342,30.0796,4.0018,4.6461,33.566587,161.1129,16.11129,0.56273,104.611607,104.611607,2.491606999999988,24.91606999999988,False
2025-03-25,DLR,102.245,102.943,88.539513,88.539513,0.0,4.902,11.0,151.42,208.342,30.2448,3.9945,4.6434,31.527933,151.3278,15.132777,0.547567,103.67229,103.67229,1.4272899999999993,14.272899999999993,False
2025-03-26,DLR,100.436,101.139,88.446048,88.446048,0.0,4.9269,11.0,149.4,208.342,30.614,4.0129,4.6407,30.928068,148.4485,14.844854,0.542435,103.290902,103.290902,2.854901999999996,28.54901999999996,False
2025-03-27,DLR,99.664,100.373,88.375938,88.375938,0.0,4.9419,11.0,144.95,208.342,31.0748,4.0252,4.6379,29.099964,139.674,13.967401,0.527727,102.343339,102.343339,2.679338999999999,26.793389999999988,False
2025-03-28,DLR,98.805,99.528,88.621234,88.621234,0.0,4.888,11.0,142.1,208.342,31.0263,3.9422,4.6352,27.290347,130.9882,13.098821,0.512627,101.720055,101.720055,2.9150549999999957,29.150549999999956,False
2025-03-31,DLR,99.114,99.838,88.75452,88.75452,0.0,4.8692,11.0,143.29,208.342,31.0175,3.9023,4.627,27.790634,133.3895,13.338948,0.516236,102.093468,102.093468,2.979467999999997,29.79467999999997,False
2025-04-01,DLR,99.52,100.249,88.865268,88.865268,0.0,4.8557,11.0,146.05,208.342,31.4227,3.8553,4.6242,29.681534,142.4654,14.246543,0.529727,103.111811,103.111811,3.591811000000007,35.91811000000007,True
2025-04-02,DLR,100.634,101.368,88.90945,88.90945,0.0,4.8409,11.0,148.68,208.342,30.5367,3.8767,4.6215,30.005133,144.0186,14.401864,0.534228,103.311314,103.311314,2.6773140000000097,26.773140000000097,False
2025-04-03,DLR,98.833,99.573,89.104627,89.104627,0.0,4.8085,11.0,141.09,208.342,34.4594,3.737,4.6188,30.498337,146.3859,14.638592,0.53025,103.743219,103.743219,4.910218999999998,49.10218999999998,True
2025-04-04,DLR,98.021,98.776,89.086101,89.086101,0.0,4.8119,11.0,137.5,208.342,36.1274,3.6751,4.616,30.433045,146.0725,14.607253,0.527925,103.693354,103.693354,5.672353999999999,56.72353999999999,True
2025-04-07,DLR,97.865,98.626,88.623172,88.623172,0.0,4.9415,11.0,136.67,208.342,37.5909,3.7395,4.6078,31.795203,152.6106,15.261061,0.537301,103.884233,103.884233,6.019233,60.19233,True
2025-04-08,DLR,97.818,98.583,88.305691,88.305691,0.0,4.9892,11.0,136.11,208.342,37.0549,3.7999,4.6051,30.95297,148.5681,14.856807,0.532299,103.162498,103.162498,5.3444980000000015,53.444980000000015,True
2025-04-09,DLR,99.604,100.375,88.042933,88.042933,0.0,5.0683,11.0,145.77,208.342,33.8124,3.9448,4.6023,32.580851,156.3816,15.638157,0.54762,103.68109,103.68109,4.0770900000000125,40.770900000000125,True
2025-04-10,DLR,98.53,99.306,87.920093,87.920093,0.0,5.0717,11.0,142.29,208.342,36.6832,3.9626,4.5996,34.189856,164.1045,16.410447,0.555496,104.33054,104.33054,5.800539999999998,58.00539999999998,True
2025-04-11,DLR,98.53,99.306,87.920093,87.920093,0.0,5.0717,11.0,142.29,208.342,36.6832,3.9626,4.5996,34.189856,164.1045,16.410447,0.555496,104.33054,104.33054,5.800539999999998,58.00539999999998,True
