date,ticker,market_clean_price,market_dirty_price,clean_floor,dirty_floor,accrued_interest,effective_discount_rate,n_cashflows,stock_price,conversion_price,implied_vol_pct,risk_free_rate_pct,remaining_maturity,option_value,option_value_per_bond,option_value_pct,delta,fair_value_clean,fair_value_dirty,mispricing_pct,mispricing_usd,signal
2024-09-04,MTH,108.364,108.928,91.30968,91.30968,0.0,4.8188,9.0,95.13,115.8749,35.9755,3.5469,3.6934,23.517237,202.9538,20.295376,0.598463,111.605056,111.605056,3.2410560000000004,32.410560000000004,True
2024-09-05,MTH,108.461,109.03,91.468769,91.468769,0.0,4.7792,9.0,94.635,115.8749,34.5828,3.5094,3.6906,22.179727,191.411,19.141104,0.587765,110.609873,110.609873,2.1488729999999947,21.488729999999947,False
2024-09-06,MTH,109.054,109.637,91.612604,91.612604,0.0,4.7184,9.0,94.825,115.8749,36.7118,3.4572,3.6879,23.719461,204.6989,20.469895,0.598161,112.082499,112.082499,3.0284990000000107,30.284990000000107,True
2024-09-09,MTH,108.653,109.242,91.745444,91.745444,0.0,4.7042,9.0,94.885,115.8749,35.8111,3.4351,3.6797,23.05585,198.972,19.897198,0.593335,111.642642,111.642642,2.9896420000000035,29.896420000000035,False
2024-09-10,MTH,108.694,109.287,91.872087,91.872087,0.0,4.6647,9.0,95.325,115.8749,35.5495,3.3781,3.6769,23.048007,198.9043,19.89043,0.593379,111.762517,111.762517,3.0685169999999857,30.685169999999857,True
2024-09-11,MTH,108.858,109.456,91.853387,91.853387,0.0,4.6936,9.0,95.89,115.8749,34.9375,3.3872,3.6742,22.945227,198.0173,19.801731,0.593875,111.655118,111.655118,2.7971179999999976,27.971179999999976,False
2024-09-12,MTH,108.858,109.456,91.853387,91.853387,0.0,4.6936,9.0,95.89,115.8749,34.9375,3.3872,3.6742,22.945227,198.0173,19.801731,0.593875,111.655118,111.655118,2.7971179999999976,27.971179999999976,False
2024-09-13,MTH,111.948,112.565,92.065335,92.065335,0.0,4.6028,9.0,101.78,115.8749,35.7037,3.357,3.6687,26.946076,232.5446,23.254464,0.629478,115.319799,115.319799,3.37179900000001,33.7179900000001,True
2024-09-16,MTH,112.781,113.403,92.190305,92.190305,0.0,4.5658,9.0,100.8,115.8749,35.419,3.3276,3.6605,26.033029,224.665,22.466504,0.622057,114.656809,114.656809,1.8758089999999896,18.758089999999896,False
2024-09-17,MTH,113.223,113.85,92.208217,92.208217,0.0,4.5693,9.0,102.175,115.8749,34.8894,3.3453,3.6578,26.52902,228.9454,22.894544,0.628008,115.102761,115.102761,1.879761000000002,18.79761000000002,False
2024-09-18,MTH,113.211,113.843,92.1629,92.1629,0.0,4.5668,9.0,101.28,115.8749,35.2064,3.3737,3.655,26.19883,226.0959,22.60959,0.62457,114.77249,114.77249,1.561489999999992,15.61489999999992,False
2024-09-19,MTH,116.17,116.807,92.196677,92.196677,0.0,4.5383,9.0,106.845,115.8749,34.0767,3.3868,3.6523,29.039651,250.6122,25.061218,0.651826,117.257895,117.257895,1.087894999999989,10.87894999999989,False
2024-09-20,MTH,114.252,114.903,92.234705,92.234705,0.0,4.528,9.0,101.665,115.8749,34.9147,3.3782,3.6496,26.215507,226.2398,22.623983,0.625553,114.858688,114.858688,0.6066880000000054,6.066880000000055,False
2024-09-23,MTH,113.957,114.613,92.264072,92.264072,0.0,4.5211,9.0,102.94,115.8749,36.3065,3.3894,3.6413,28.075641,242.2928,24.229278,0.637699,116.49335,116.49335,2.5363499999999988,25.363499999999988,False
2024-09-24,MTH,113.44,114.101,92.371766,92.371766,0.0,4.4823,9.0,102.7,115.8749,36.289,3.3684,3.6386,27.860854,240.4392,24.043917,0.63583,116.415683,116.415683,2.975683000000004,29.75683000000004,False
2024-09-25,MTH,112.881,113.546,92.252078,92.252078,0.0,4.5192,9.0,100.225,115.8749,37.1127,3.4005,3.6359,26.880466,231.9784,23.197842,0.626065,115.44992,115.44992,2.5689199999999914,25.689199999999914,False
2024-09-26,MTH,112.9,113.571,92.13652,92.13652,0.0,4.5691,9.0,100.335,115.8749,37.1685,3.4411,3.6331,27.024716,233.2233,23.32233,0.627526,115.45885,115.45885,2.5588500000000067,25.588500000000067,False
2024-09-27,MTH,112.9,113.571,92.13652,92.13652,0.0,4.5691,9.0,100.335,115.8749,37.1685,3.4411,3.6331,27.024716,233.2233,23.32233,0.627526,115.45885,115.45885,2.5588500000000067,25.588500000000067,False
2024-09-30,MTH,113.917,114.607,92.134436,92.134436,0.0,4.5841,9.0,102.535,115.8749,35.6292,3.4659,3.6222,27.311369,235.6971,23.569711,0.633885,115.704147,115.704147,1.7871469999999905,17.871469999999903,False
2024-10-01,MTH,114.0,114.695,92.208567,92.208567,0.0,4.5655,9.0,102.7,115.8749,35.9691,3.4353,3.6194,27.618526,238.3479,23.834788,0.635304,116.043355,116.043355,2.0433550000000054,20.433550000000054,False
2024-10-02,MTH,113.623,114.323,92.216545,92.216545,0.0,4.5538,9.0,101.16,115.8749,36.2301,3.4565,3.6167,26.802749,231.3077,23.130772,0.628047,115.347317,115.347317,1.7243169999999992,17.243169999999992,False
2024-10-03,MTH,113.623,114.323,92.216545,92.216545,0.0,4.5538,9.0,101.16,115.8749,36.2301,3.4565,3.6167,26.802749,231.3077,23.130772,0.628047,115.347317,115.347317,1.7243169999999992,17.243169999999992,False
2024-10-04,MTH,112.032,112.751,91.677886,91.677886,0.0,4.7269,9.0,99.02,115.8749,36.208,3.6893,3.6112,25.782777,222.5054,22.250537,0.620896,113.928423,113.928423,1.8964230000000128,18.96423000000013,False
