ticker,date,stock_price,conversion_price,implied_vol_pct,risk_free_rate_pct,remaining_maturity,option_value,delta,option_value_per_bond,option_value_pct
CDP,2024-06-07,24.23,29.8328,38.8406,4.4258,4.2738,7.410212,0.646914,248.391,24.839104
CDP,2024-06-10,24.15,29.8328,48.9478,4.4777,4.2656,9.172473,0.685467,307.4622,30.746222
CDP,2024-06-11,23.92,29.8328,36.4007,4.4304,4.2628,6.751095,0.630156,226.2974,22.629739
CDP,2024-06-12,24.28,29.8328,37.7982,4.3589,4.2601,7.208837,0.641761,241.641,24.164095
CDP,2024-06-13,24.17,29.8328,36.7167,4.2842,4.2574,6.908459,0.633393,231.5722,23.157222
CDP,2024-06-14,24.38,29.8328,40.001,4.2582,4.2546,7.636427,0.650382,255.9738,25.59738
CDP,2024-06-17,24.5,29.8328,39.4581,4.3042,4.2464,7.618423,0.65096,255.3703,25.53703
CDP,2024-06-18,24.62,29.8328,39.5745,4.2701,4.2437,7.700094,0.652824,258.1079,25.810793
CDP,2024-06-20,24.24,29.8328,24.2767,4.2832,4.2382,4.523862,0.577195,151.6403,15.16403
CDP,2024-06-21,24.63,29.8328,39.796,4.2863,4.2355,7.742914,0.653861,259.5432,25.954324
CDP,2024-06-24,24.9,29.8328,45.3133,4.2892,4.2272,8.916246,0.678692,298.8735,29.887346
CDP,2024-06-25,24.77,29.8328,20.8044,4.2814,4.2245,4.138773,0.578871,138.7321,13.87321
CDP,2024-06-26,24.83,29.8328,61.5871,4.3407,4.2218,11.75531,0.736322,394.0392,39.403916
CDP,2024-06-27,24.74,29.8328,33.0142,4.328,4.219,6.53633,0.629741,219.0984,21.909845
CDP,2024-06-28,25.03,29.8328,32.5817,4.3556,4.2163,6.64144,0.635086,222.6217,22.262172
CDP,2024-07-01,25.05,29.8328,51.935,4.4361,4.2081,10.253537,0.706314,343.6996,34.369957
CDP,2024-07-02,25.36,29.8328,22.4593,4.4142,4.2053,4.863698,0.609482,163.0316,16.303164
CDP,2024-07-03,25.37,29.8328,73.7459,4.3646,4.2026,14.104751,0.779549,472.7927,47.279267
CDP,2024-07-05,25.14,29.8328,73.4928,4.274,4.1971,13.855685,0.77603,464.444,46.444396
CDP,2024-07-08,25.23,29.8328,49.0708,4.257,4.1889,9.782213,0.695507,327.9008,32.790077
CDP,2024-07-09,25.55,29.8328,54.2688,4.2659,4.1862,10.949777,0.717692,367.0376,36.703763
CDP,2024-07-10,25.47,29.8328,77.1248,4.26,4.1834,14.64347,0.788793,490.8506,49.085057
CDP,2024-07-11,25.93,29.8328,37.2506,4.1676,4.1807,7.994854,0.664035,267.9883,26.798831
CDP,2024-07-12,26.16,29.8328,82.5571,4.1232,4.178,15.959068,0.807501,534.9495,53.494954
CDP,2024-07-15,26.88,29.8328,33.3858,4.1293,4.1697,7.856976,0.669698,263.3666,26.336662
CDP,2024-07-16,27.32,29.8328,28.5536,4.0943,4.167,7.1621,0.666932,240.0743,24.007429
CDP,2024-07-17,26.75,29.8328,33.8177,4.0773,4.1643,7.825366,0.666956,262.307,26.230705
