ticker,date,stock_price,conversion_price,implied_vol_pct,risk_free_rate_pct,remaining_maturity,option_value,delta,option_value_per_bond,option_value_pct
WEC2,2024-11-15,97.98,98.7723,16.6447,4.2235,4.5421,22.483053,0.755917,227.6252,22.762517
WEC2,2024-11-18,99.28,98.7723,18.0619,4.2081,4.5339,24.324972,0.757974,246.2733,24.627331
WEC2,2024-11-19,99.05,98.7723,17.94,4.1856,4.5311,24.002793,0.755905,243.0115,24.301148
WEC2,2024-11-20,99.27,98.7723,17.6316,4.1871,4.5284,23.966943,0.759413,242.6485,24.264852
WEC2,2024-11-21,100.96,98.7723,18.743,4.2185,4.5257,26.084022,0.767428,264.0825,26.408246
WEC2,2024-11-22,100.66,98.7723,17.9121,4.2282,4.5229,25.320418,0.770175,256.3515,25.635151
WEC2,2024-11-25,101.35,98.7723,17.8182,4.1346,4.5147,25.550693,0.772597,258.6829,25.868288
WEC2,2024-11-26,101.55,98.7723,16.7138,4.1334,4.512,24.986429,0.781625,252.9701,25.29701
WEC2,2024-11-27,101.82,98.7723,17.6897,4.0911,4.5092,25.712744,0.775408,260.3235,26.032353
WEC2,2024-11-29,101.05,98.7723,18.1621,4.0365,4.5038,25.272044,0.764481,255.8618,25.586176
WEC2,2024-12-02,99.66,98.7723,16.6091,4.0318,4.4956,23.129436,0.762357,234.1693,23.416935
WEC2,2024-12-03,98.22,98.7723,16.1701,4.0469,4.4928,21.769493,0.752847,220.4009,22.040088
WEC2,2024-12-04,98.35,98.7723,17.463,4.019,4.4901,22.644845,0.745151,229.2632,22.92632
WEC2,2024-12-05,97.72,98.7723,17.4484,4.0072,4.4873,22.147547,0.738956,224.2284,22.422841
WEC2,2024-12-06,97.09,98.7723,15.9256,3.9781,4.4846,20.600888,0.740173,208.5696,20.856957
WEC2,2024-12-09,97.11,98.7723,16.1083,3.9977,4.4764,20.755341,0.739865,210.1333,21.01333
WEC2,2024-12-10,97.15,98.7723,17.2396,4.0188,4.4736,21.579277,0.734816,218.4751,21.847508
WEC2,2024-12-11,95.61,98.7723,18.1037,4.0512,4.4709,21.123308,0.717947,213.8587,21.385871
WEC2,2024-12-12,95.86,98.7723,16.7067,4.0948,4.4682,20.44102,0.728011,206.951,20.695102
WEC2,2024-12-13,95.74,98.7723,15.6628,4.1616,4.4654,19.796282,0.735426,200.4235,20.04235
WEC2,2024-12-16,94.93,98.7723,18.4583,4.1723,4.4572,21.087723,0.714761,213.4984,21.349843
WEC2,2024-12-17,94.71,98.7723,18.1621,4.1798,4.4545,20.734387,0.713914,209.9212,20.992116
WEC2,2024-12-18,92.94,98.7723,18.347,4.2706,4.4517,19.763595,0.700067,200.0926,20.009256
WEC2,2024-12-19,93.26,98.7723,17.5731,4.3164,4.449,19.549485,0.707294,197.9248,19.792485
WEC2,2024-12-20,94.5,98.7723,19.2074,4.2926,4.4463,21.500556,0.712847,217.6781,21.767808
WEC2,2024-12-23,94.84,98.7723,18.5017,4.3374,4.4381,21.331051,0.719553,215.962,21.596196
WEC2,2024-12-24,95.04,98.7723,19.0644,4.3496,4.4353,21.8709,0.719858,221.4276,22.142756
WEC2,2024-12-26,94.87,98.7723,19.3548,4.337,4.4298,21.899895,0.716851,221.7211,22.172111
WEC2,2024-12-27,94.82,98.7723,18.8977,4.3514,4.4271,21.575031,0.71825,218.4321,21.843209
WEC2,2024-12-30,94.21,98.7723,18.4721,4.2912,4.4189,20.695532,0.711483,209.5278,20.952777
WEC2,2024-12-31,94.04,98.7723,17.2272,4.2864,4.4162,19.709717,0.714004,199.5471,19.954709
WEC2,2025-01-02,93.99,98.7723,18.471,4.2772,4.4107,20.479781,0.70863,207.3434,20.734345
WEC2,2025-01-03,93.79,98.7723,18.4697,4.3028,4.4079,20.37749,0.707659,206.3078,20.630782
WEC2,2025-01-06,92.12,98.7723,13.5377,4.314,4.3997,15.877994,0.712714,160.7536,16.075358
WEC2,2025-01-07,93.19,98.7723,17.1695,4.3486,4.397,19.115866,0.707646,193.5348,19.353476
WEC2,2025-01-08,94.75,98.7723,18.3839,4.3473,4.3943,21.056457,0.718194,213.1819,21.318189
WEC2,2025-01-10,93.41,98.7723,18.0543,4.4473,4.3888,20.048528,0.710394,202.9773,20.297732
WEC2,2025-01-13,93.89,98.7723,16.7369,4.4809,4.3806,19.559402,0.721563,198.0253,19.802526
WEC2,2025-01-14,94.58,98.7723,16.0281,4.4728,4.3778,19.576035,0.731945,198.1936,19.819365
WEC2,2025-01-15,95.57,98.7723,16.8962,4.369,4.3751,20.642275,0.732708,208.9886,20.898858
WEC2,2025-01-16,98.39,98.7723,16.7793,4.3132,4.3723,22.495921,0.758039,227.7555,22.775545
WEC2,2025-01-17,99.03,98.7723,17.8266,4.3162,4.3696,23.647569,0.757318,239.4151,23.941508
WEC2,2025-01-21,100.23,98.7723,17.5491,4.3007,4.3587,24.339855,0.767975,246.424,24.6424
WEC2,2025-01-22,97.58,98.7723,18.1429,4.311,4.3559,22.729482,0.742438,230.1201,23.01201
WEC2,2025-01-23,97.31,98.7723,17.3109,4.3314,4.3532,22.025665,0.744976,222.9944,22.299444
WEC2,2025-01-24,98.01,98.7723,17.478,4.3229,4.3504,22.614398,0.750095,228.9549,22.895495
WEC2,2025-01-27,100.88,98.7723,18.179,4.2515,4.3422,25.081477,0.767213,253.9324,25.393239
WEC2,2025-01-28,98.92,98.7723,17.8182,4.2417,4.3395,23.283547,0.752979,235.7296,23.572962
WEC2,2025-01-29,98.03,98.7723,17.8848,4.2556,4.3368,22.697407,0.745195,229.7954,22.979535
WEC2,2025-01-30,99.45,98.7723,16.1476,4.2273,4.334,22.58045,0.767678,228.6112,22.861125
WEC2,2025-01-31,99.26,98.7723,17.1205,4.2612,4.3313,23.116363,0.760533,234.037,23.4037
WEC2,2025-02-03,100.45,98.7723,18.0559,4.2583,4.3231,24.613429,0.764333,249.1937,24.919373
WEC2,2025-02-04,99.22,98.7723,15.9604,4.2343,4.3203,22.249453,0.766983,225.2601,22.526014
WEC2,2025-02-05,100.89,98.7723,17.2922,4.1746,4.3176,24.260087,0.769567,245.6164,24.56164
WEC2,2025-02-06,100.79,98.7723,17.9423,4.1832,4.3149,24.607288,0.764902,249.1316,24.913157
WEC2,2025-02-07,101.79,98.7723,16.2414,4.2333,4.3121,24.430165,0.786898,247.3383,24.733832
WEC2,2025-02-10,101.22,98.7723,18.2375,4.2439,4.3039,25.230329,0.768455,255.4394,25.543942
WEC2,2025-02-11,102.7,98.7723,17.8823,4.2675,4.3012,26.206779,0.783013,265.3253,26.53253
WEC2,2025-02-12,102.43,98.7723,19.612,4.3515,4.2984,27.273374,0.773337,276.1238,27.612382
WEC2,2025-02-13,103.78,98.7723,18.2184,4.3031,4.2957,27.325363,0.790024,276.6502,27.665017
