ticker,date,stock_price,conversion_price,implied_vol_pct,risk_free_rate_pct,remaining_maturity,option_value,delta,option_value_per_bond,option_value_pct
EVRG,2024-03-05,50.35,61.6652,22.6994,4.2141,3.7782,7.917863,0.547689,128.4008,12.840081
EVRG,2024-03-06,50.68,61.6652,22.3111,4.1967,3.7755,7.927307,0.55069,128.554,12.855396
EVRG,2024-03-07,51.36,61.6652,21.7402,4.164,3.7728,8.041416,0.558635,130.4044,13.040442
EVRG,2024-03-08,51.56,61.6652,22.2198,4.1466,3.77,8.311824,0.563672,134.7895,13.478953
EVRG,2024-03-11,51.63,61.6652,21.9263,4.161,3.7618,8.232534,0.563621,133.5037,13.350371
EVRG,2024-03-12,51.27,61.6652,21.8823,4.2199,3.7591,8.064052,0.558943,130.7715,13.07715
EVRG,2024-03-13,51.44,61.6652,21.8542,4.2552,3.7563,8.166363,0.562918,132.4306,13.243063
EVRG,2024-03-14,50.94,61.6652,21.823,4.3354,3.7536,7.942263,0.556439,128.7965,12.879651
EVRG,2024-03-15,51.6,61.6652,21.8651,4.3737,3.7509,8.338709,0.569625,135.2255,13.52255
EVRG,2024-03-18,51.76,61.6652,21.9134,4.4019,3.7426,8.449056,0.573179,137.015,13.701496
EVRG,2024-03-19,52.2,61.6652,21.2057,4.3775,3.7399,8.394008,0.577186,136.1223,13.612226
EVRG,2024-03-20,51.77,61.6652,21.1315,4.3249,3.7372,8.08522,0.567078,131.1148,13.111478
EVRG,2024-03-21,51.79,61.6652,20.4426,4.3235,3.7344,7.825634,0.564255,126.9052,12.690518
EVRG,2024-03-22,51.63,61.6652,20.0628,4.279,3.7317,7.551498,0.557622,122.4596,12.245963
EVRG,2024-03-25,51.42,61.6652,19.2139,4.2933,3.7235,7.101932,0.5493,115.1692,11.516919
EVRG,2024-03-26,51.28,61.6652,21.0987,4.294,3.7207,7.751389,0.55585,125.7012,12.570118
EVRG,2024-03-27,53.05,61.6652,20.8298,4.2667,3.718,8.617302,0.586364,139.7433,13.974333
EVRG,2024-03-28,53.38,61.6652,19.146,4.2852,3.7153,8.138777,0.587736,131.9833,13.198329
EVRG,2024-04-01,52.74,61.6652,21.6841,4.3742,3.7043,8.834269,0.586836,143.2618,14.32618
EVRG,2024-04-02,53.01,61.6652,19.6889,4.3995,3.7016,8.200852,0.585778,132.9899,13.298993
EVRG,2024-04-03,52.72,61.6652,19.76,4.3932,3.6988,8.057176,0.580062,130.66,13.066
EVRG,2024-04-04,52.68,61.6652,17.9479,4.3632,3.6961,7.305383,0.57165,118.4685,11.846848
EVRG,2024-04-05,52.2,61.6652,20.8629,4.4209,3.6934,8.204582,0.574969,133.0504,13.305042
EVRG,2024-04-08,52.78,61.6652,20.9493,4.4657,3.6851,8.594048,0.587165,139.3662,13.936624
EVRG,2024-04-09,52.97,61.6652,24.5472,4.4365,3.6824,10.125219,0.60167,164.1966,16.419662
EVRG,2024-04-10,51.68,61.6652,21.3447,4.6062,3.6797,8.222485,0.573152,133.3408,13.334075
EVRG,2024-04-11,51.46,61.6652,21.3377,4.6368,3.6769,8.117452,0.570003,131.6375,13.163748
EVRG,2024-04-12,50.95,61.6652,21.718,4.5975,3.6742,7.94623,0.560766,128.8608,12.886084
EVRG,2024-04-15,50.39,61.6652,21.5974,4.6598,3.666,7.623685,0.551364,123.6302,12.363025
EVRG,2024-04-16,49.56,61.6652,22.0166,4.7043,3.6632,7.354926,0.539229,119.2719,11.927189
EVRG,2024-04-17,50.53,61.6652,21.1662,4.6635,3.6605,7.527653,0.551608,122.0729,12.207293
EVRG,2024-04-18,50.96,61.6652,21.3686,4.6981,3.6578,7.861596,0.561868,127.4884,12.748835
EVRG,2024-04-19,51.76,61.6652,21.0536,4.6926,3.655,8.17322,0.575145,132.5418,13.254184
EVRG,2024-04-22,52.26,61.6652,19.6094,4.6902,3.6468,7.884203,0.57892,127.855,12.785497
EVRG,2024-04-23,52.25,61.6652,20.7641,4.6664,3.6441,8.290453,0.581647,134.443,13.444296
EVRG,2024-04-24,52.48,61.6652,19.8558,4.6801,3.6413,8.080594,0.583354,131.0398,13.103976
EVRG,2024-04-25,52.42,61.6652,20.4827,4.732,3.6386,8.320287,0.585948,134.9268,13.492677
EVRG,2024-04-26,51.69,61.6652,20.8463,4.7297,3.6359,8.045323,0.573253,130.4678,13.046779
EVRG,2024-04-29,52.75,61.6652,20.4766,4.703,3.6277,8.453897,0.590435,137.0935,13.709347
