ticker,date,market_clean_price,market_dirty_price,clean_floor,dirty_floor,accrued_interest,effective_discount_rate,n_cashflows,stock_price,conversion_price,implied_vol_pct,risk_free_rate_pct,remaining_maturity,option_value,option_value_per_bond,option_value_pct,delta,fair_value_clean,fair_value_dirty,mispricing_pct,mispricing_usd,signal
EVRG,2025-04-02,117.972,119.322,99.393942,100.731442,1.3375,4.8627,7,69.43,61.6652,17.2033,3.8615,2.7023,16.011925,259.659,25.965898,0.823612,125.35983999999999,126.69734,7.387839999999997,73.87839999999997,True
EVRG,2025-04-03,118.019,119.381,99.492262,100.842262,1.35,4.8395,7,69.21,61.6652,18.0541,3.7306,2.6995,15.935176,258.4144,25.841438,0.809731,125.3337,126.68369999999999,7.314699999999988,73.14699999999988,True
EVRG,2025-04-04,115.775,117.175,99.469176,100.831676,1.3625,4.8409,7,66.18,61.6652,21.0979,3.6706,2.6968,14.511791,235.3319,23.533191,0.746172,123.002367,124.364867,7.227367000000001,72.27367000000001,True
EVRG,2025-04-07,113.357,114.77,99.189447,100.589447,1.4,4.9685,7,64.36,61.6652,22.9193,3.716,2.6886,13.881276,225.1071,22.51071,0.714314,121.700157,123.10015700000001,8.343157000000005,83.43157000000005,True
EVRG,2025-04-08,113.048,114.473,99.043404,100.455904,1.4125,4.9958,7,64.51,61.6652,23.3652,3.7484,2.6858,14.168707,229.7683,22.976825,0.715889,122.020229,123.432729,8.972228999999999,89.72228999999999,True
EVRG,2025-04-09,113.916,115.354,98.88474,100.30974,1.425,5.0766,7,65.17,61.6652,21.9354,3.884,2.6831,14.24072,230.9361,23.093606,0.733104,121.97834599999999,123.40334599999998,8.062345999999991,80.62345999999991,True
EVRG,2025-04-10,114.426,115.876,98.842387,100.279887,1.4375,5.0635,7,65.48,61.6652,22.4894,3.8836,2.6804,14.650855,237.5871,23.758706,0.735235,122.601093,124.038593,8.175093000000004,81.75093000000004,True
EVRG,2025-04-11,115.685,117.173,98.687749,100.137749,1.45,5.1157,7,66.52,61.6652,20.7596,3.9593,2.6776,14.885517,241.3925,24.139248,0.75928,122.82699699999999,124.276997,7.141996999999989,71.41996999999989,True
EVRG,2025-04-15,117.054,118.566,98.995428,100.495428,1.5,5.0322,7,67.87,61.6652,19.1915,3.8508,2.6667,15.29129,247.9727,24.797273,0.784671,123.79270100000001,125.29270100000001,6.738701000000006,67.38701000000006,True
EVRG,2025-04-16,117.45,118.975,99.144502,100.657002,1.5125,4.9732,7,67.43,61.6652,17.1216,3.7889,2.6639,14.210355,230.4436,23.044364,0.793422,122.188866,123.70136600000001,4.738866000000002,47.388660000000016,True
