ticker,date,market_clean_price,market_dirty_price,clean_floor,dirty_floor,accrued_interest,effective_discount_rate,n_cashflows,stock_price,conversion_price,implied_vol_pct,risk_free_rate_pct,remaining_maturity,option_value,option_value_per_bond,option_value_pct,delta,fair_value_clean,fair_value_dirty,mispricing_pct,mispricing_usd,signal
REXR2,2024-10-21,101.75,102.174,97.862436,98.274936,0.4125,4.8394,10,44.69,63.6351,26.0879,3.8848,4.397,6.689786,105.1273,10.512732,0.474966,108.375168,108.787668,6.625168000000002,66.25168000000002,True
REXR2,2024-10-22,101.618,102.053,97.745134,98.169092,0.423958,4.8597,10,44.65,63.6351,31.6437,3.9167,4.3943,8.774208,137.8832,13.788317,0.522104,111.53345099999999,111.95740899999998,9.91545099999999,99.1545099999999,True
REXR2,2024-10-23,101.5,101.947,97.611784,98.0472,0.435417,4.889,10,45.09,63.6351,26.4796,3.9527,4.3915,7.047921,110.7553,11.075527,0.48643,108.687311,109.122728,7.187310999999994,71.87310999999994,True
REXR2,2024-10-25,101.142,101.634,97.539189,97.997522,0.458333,4.9081,10,43.35,63.6351,27.147,3.9826,4.386,6.500593,102.1542,10.215422,0.465931,107.754611,108.212944,6.612611000000001,66.12611000000001,True
REXR2,2024-10-28,101.268,101.772,97.421004,97.913712,0.492708,4.9291,10,44.25,63.6351,22.4516,4.0157,4.3778,5.18601,81.4961,8.149607,0.43308,105.570611,106.06331899999999,4.302610999999999,43.02610999999999,True
REXR2,2024-10-29,100.823,101.339,97.404859,97.909026,0.504167,4.9253,10,44.0,63.6351,25.7071,4.0208,4.3751,6.286221,98.7854,9.878544,0.463304,107.283403,107.78757,6.460403000000014,64.60403000000014,True
REXR2,2024-10-31,100.585,101.112,97.205529,97.732613,0.527083,4.9688,10,42.89,63.6351,25.4179,4.0515,4.3696,5.680074,89.2601,8.926008,0.441801,106.131537,106.65862,5.546537000000001,55.46537000000001,True
REXR2,2024-11-01,100.009,100.57,97.039719,97.566803,0.527083,4.9959,10,42.55,63.6351,26.5311,4.1105,4.3669,5.956835,93.6093,9.360928,0.449397,106.400647,106.92773000000001,6.391647000000006,63.91647000000006,True
REXR2,2024-11-04,100.207,100.78,97.135707,97.697165,0.561458,4.9742,10,43.17,63.6351,30.259,4.0859,4.3587,7.516269,118.1152,11.811516,0.491956,108.947223,109.508681,8.740223,87.40223,True
REXR2,2024-11-06,99.812,100.408,97.053401,97.637776,0.584375,4.9895,10,42.7,63.6351,25.647,4.1693,4.3532,5.717566,89.8493,8.984926,0.443648,106.038327,106.62270199999999,6.226326999999998,62.26326999999998,True
